"country","code","region","year","life_exp","gdp_per_cap","pop"
"Cyprus","cyp","Europe",2015,81.8,29797,1165300
"Czech Republic","cze","Europe",2015,78.8,29437,10543186
"Denmark","dnk","Europe",2015,80.4,43495,5669081
"Djibouti","dji","Africa",2015,63.8,3139,887861
"Dominican Republic","dom","Americas",2015,75.3,12837,10528391
"Ecuador","ecu","Americas",2015,75.9,10996,16144363
"Egypt","egy","Africa",2015,71.5,11031,91508084
"El Salvador","slv","Americas",2015,74.9,7776,6126583
"Equatorial Guinea","gnq","Africa",2015,61,31087,845060
"Eritrea","eri","Africa",2015,60.7,1129,5227791
"Estonia","est","Europe",2015,77.8,26812,1312558
"Ethiopia","eth","Africa",2015,65.2,1520,99390750
"Fiji","fji","Asia",2015,65.8,7925,892145
"Finland","fin","Europe",2015,80.9,38923,5503457
"France","fra","Europe",2015,81.8,37599,64395345
"Gabon","gab","Africa",2015,65.9,18627,1725292
"Gambia","gmb","Africa",2015,68.1,1644,1990924
"Georgia","geo","Europe",2015,72.9,7474,3999812
"Germany","deu","Europe",2015,80.8,44053,80688545
"Ghana","gha","Africa",2015,65.3,4099,27409893
"Greece","grc","Europe",2015,81,25430,10954617
"Grenada","grd","Americas",2015,71.5,11593,106825
"Guatemala","gtm","Americas",2015,72.6,7279,16342897
"Guinea","gin","Africa",2015,59.1,1225,12608590
"Guinea-Bissau","gnb","Africa",2015,55.6,1386,1844325
"Guyana","guy","Americas",2015,66.8,6816,767085
"Haiti","hti","Americas",2015,64.3,1710,10711067
"Honduras","hnd","Americas",2015,73,4270,8075060
"Hong Kong, China","hkg","Asia",2015,83.73,53874,7287983
"Hungary","hun","Europe",2015,76.7,24200,9855023
"Iceland","isl","Europe",2015,83.3,42182,329425
"India","ind","Asia",2015,67.2,5903,1311050527
"Indonesia","idn","Asia",2015,71.1,10504,257563815
"Iran","irn","Asia",2015,74.6,15573,79109272
"Iraq","irq","Asia",2015,67.4,14646,36423395
"Ireland","irl","Europe",2015,81.7,47758,4688465
"Israel","isr","Asia",2015,82.1,31590,8064036
"Italy","ita","Europe",2015,82.2,33297,59797685
"Jamaica","jam","Americas",2015,75,8606,2793335
"Japan","jpn","Asia",2015,83.2,36162,126573481
"Jordan","jor","Asia",2015,78.5,11752,7594547
"Kazakhstan","kaz","Asia",2015,70.2,23468,17625226
"Kenya","ken","Africa",2015,65.1,2898,46050302
"Kiribati","kir","Asia",2015,63,1824,112423
"North Korea","prk","Asia",2015,72.1,1390,25155317
"South Korea","kor","Asia",2015,81,34644,50293439
"Kuwait","kwt","Asia",2015,80.3,82633,3892115
"Kyrgyz Republic","kgz","Asia",2015,69.8,3245,5939962
"Lao","lao","Asia",2015,67.1,5212,6802023
"Latvia","lva","Europe",2015,75.4,23282,1970503
"Lebanon","lbn","Asia",2015,78.9,17050,5850743
"Lesotho","lso","Africa",2015,47.1,2598,2135022
"Liberia","lbr","Africa",2015,63.2,958,4503438
"Libya","lby","Africa",2015,74.1,17261,6278438
"Lithuania","ltu","Europe",2015,75.2,26665,2878405
"Luxembourg","lux","Europe",2015,82.2,88314,567110
"Macedonia, FYR","mkd","Europe",2015,76.5,12547,2078453
"Madagascar","mdg","Africa",2015,63.5,1400,24235390
"Malawi","mwi","Africa",2015,60.5,799,17215232
"Malaysia","mys","Asia",2015,75.3,24320,30331007
"Maldives","mdv","Asia",2015,80,14408,363657
"Mali","mli","Africa",2015,60.2,1684,17599694
"Malta","mlt","Europe",2015,82.1,30265,418670
"Mauritania","mrt","Africa",2015,69.7,3877,4067564
"Mauritius","mus","Africa",2015,74.5,18350,1273212
"Mexico","mex","Americas",2015,75.9,16850,127017224
"Micronesia, Fed. Sts.","fsm","Asia",2015,68.9,3510,104460
"Moldova","mda","Europe",2015,73.9,4896,4068897
"Mongolia","mng","Asia",2015,67.1,11819,2959134
"Montenegro","mne","Europe",2015,77.2,14833,625781
"Morocco","mar","Africa",2015,74.6,7319,34377511
"Mozambique","moz","Africa",2015,57.1,1176,27977863
"Myanmar","mmr","Asia",2015,68,4012,53897154
"Namibia","nam","Africa",2015,64.2,10040,2458830
"Nepal","npl","Asia",2015,69.7,2352,28513700
"Netherlands","nld","Europe",2015,81.3,45784,16924929
"New Zealand","nzl","Asia",2015,81.4,34186,4528526
"Nicaragua","nic","Americas",2015,78,4712,6082032
"Niger","ner","Africa",2015,61,943,19899120
"Nigeria","nga","Africa",2015,64.6,5727,182201962
"Norway","nor","Europe",2015,82,64304,5210967
"Oman","omn","Asia",2015,77.2,48226,4490541
"Pakistan","pak","Asia",2015,65.9,4743,188924874
"Panama","pan","Americas",2015,78.2,20485,3929141
"Papua New Guinea","png","Asia",2015,60.9,2529,7619321
"Paraguay","pry","Americas",2015,74.4,8219,6639123
"Peru","per","Americas",2015,79.5,11903,31376670
"Philippines","phl","Asia",2015,71,6876,100699395
"Poland","pol","Europe",2015,77.6,24787,38611794
"Portugal","prt","Europe",2015,80.8,26437,10349803
"Qatar","qat","Asia",2015,79.7,132877,2235355
"Romania","rou","Europe",2015,75.2,19203,19511324
"Russia","rus","Europe",2015,71,23038,143456918
"Rwanda","rwa","Africa",2015,65.9,1549,11609666
"St. Lucia","lca","Americas",2015,74.8,9997,184999
"St. Vincent and the Grenadines","vct","Americas",2015,71.2,10435,109462
"Samoa","wsm","Asia",2015,73.2,5558,193228
"Sao Tome and Principe","stp","Africa",2015,68,3003,190344
"Saudi Arabia","sau","Asia",2015,79.5,52469,31540372
"Senegal","sen","Africa",2015,65.3,2251,15129273
"Serbia","srb","Europe",2015,76.2,12908,8850975
"Seychelles","syc","Africa",2015,74.1,25684,96471
"Sierra Leone","sle","Africa",2015,57.1,2085,6453184
"Singapore","sgp","Asia",2015,82,80794,5603740
"Slovak Republic","svk","Europe",2015,77.6,27204,5426258
"Slovenia","svn","Europe",2015,80.9,28550,2067526
"Solomon Islands","slb","Asia",2015,64,2047,583591
"Somalia","som","Africa",2015,54.2,624,10787104
"South Africa","zaf","Africa",2015,61.3,12509,54490406
"Spain","esp","Europe",2015,82.6,32979,46121699
"Sri Lanka","lka","Asia",2015,77.6,10624,20715010
"Sudan","sdn","Africa",2015,67.5,3975,40234882
"Suriname","sur","Americas",2015,72,17125,542975
"Swaziland","swz","Africa",2015,51.8,6095,1286970
"Sweden","swe","Europe",2015,82.1,44892,9779426
"Switzerland","che","Europe",2015,83,56118,8298663
"Syria","syr","Asia",2015,68.2,4637,18502413
"Tajikistan","tjk","Asia",2015,72.4,2582,8481855
"Tanzania","tza","Africa",2015,64.1,2571,53470420
"Thailand","tha","Asia",2015,74.7,14512,67959359
"Timor-Leste","tls","Asia",2015,72.4,2086,1184765
"Togo","tgo","Africa",2015,61.5,1433,7304578
"Tonga","ton","Asia",2015,71.5,5069,106170
"Trinidad and Tobago","tto","Americas",2015,72.4,30113,1360088
"Tunisia","tun","Africa",2015,77.6,11126,11253554
"Turkey","tur","Europe",2015,79.2,19360,78665830
"Turkmenistan","tkm","Asia",2015,70,15865,5373502
"Uganda","uga","Africa",2015,61.3,1680,39032383
"Ukraine","ukr","Europe",2015,71.5,8449,44823765
"United Arab Emirates","are","Asia",2015,75.4,60749,9156963
"United Kingdom","gbr","Europe",2015,81,38225,64715810
"United States","usa","Americas",2015,79.1,53354,321773631
"Uruguay","ury","Americas",2015,76.8,20438,3431555
"Uzbekistan","uzb","Asia",2015,71.8,5598,29893488
"Vanuatu","vut","Asia",2015,64.9,2912,264652
"Venezuela","ven","Americas",2015,74.8,15753,31108083
"Vietnam","vnm","Asia",2015,75.4,5623,93447601
"Yemen","yem","Asia",2015,66,3887,26832215
"Zambia","zmb","Africa",2015,56.7,4034,16211767
"Zimbabwe","zwe","Africa",2015,59.3,1801,15602751
"South Sudan","ssd","Africa",2015,56.1,3047,12339812
