"country","code","region","year","life_exp","gdp_per_cap","pop"
"Grenada","grd","Americas",1800,31.4,959,29409
"Guatemala","gtm","Americas",1800,25.8,857,458965
"Guinea","gin","Africa",1800,29.5,450,983959
"Guinea-Bissau","gnb","Africa",1800,32,777,218167
"Guyana","guy","Americas",1800,31.12,1214,166034
"Haiti","hti","Americas",1800,29,633,723000
"Honduras","hnd","Americas",1800,33.9,675,126118
"Hong Kong, China","hkg","Asia",1800,34.9,1007,20000
"Hungary","hun","Europe",1800,36,1249,3499771
"Iceland","isl","Europe",1800,42.85,926,61428
"India","ind","Asia",1800,25.44,1052,168574895
"Indonesia","idn","Asia",1800,30,994,16108545
"Iran","irn","Asia",1800,25.6,977,6269721
"Iraq","irq","Asia",1800,31.2,970,1076920
"Ireland","irl","Europe",1800,38.3,1447,4064749
"Israel","isr","Asia",1800,32,879,209954
"Italy","ita","Europe",1800,29.69,2225,18822234
"Jamaica","jam","Americas",1800,34.2,1170,401000
"Japan","jpn","Asia",1800,36.4,1050,30294378
"Jordan","jor","Asia",1800,31.7,976,217000
"Kazakhstan","kaz","Asia",1800,26.2,1140,2041282
"Kenya","ken","Africa",1800,25.5,854,2574000
"Kiribati","kir","Asia",1800,24.9,551,17876
"North Korea","prk","Asia",1800,26,579,4345000
"South Korea","kor","Asia",1800,25.8,576,9395000
"Kuwait","kwt","Asia",1800,26,1097,81280
"Kyrgyz Republic","kgz","Asia",1800,23.94,508,530343
"Lao","lao","Asia",1800,31.9,864,470000
"Latvia","lva","Europe",1800,33,751,590588
"Lebanon","lbn","Asia",1800,29.7,1081,332000
"Lesotho","lso","Africa",1800,32.8,393,276361
"Liberia","lbr","Africa",1800,31.1,797,313543
"Libya","lby","Africa",1800,33.1,1050,531472
"Lithuania","ltu","Europe",1800,28.9,1270,778655
"Luxembourg","lux","Europe",1800,36.9,1453,127030
"Macedonia, FYR","mkd","Europe",1800,36.1,690,391865
"Madagascar","mdg","Africa",1800,30.5,573,1543133
"Malawi","mwi","Africa",1800,30.3,350,737000
"Malaysia","mys","Asia",1800,30.6,997,287000
"Maldives","mdv","Asia",1800,32.65,842,42378
"Mali","mli","Africa",1800,26.41,603,1403398
"Malta","mlt","Europe",1800,28.7,781,134072
"Mauritania","mrt","Africa",1800,32,527,382696
"Mauritius","mus","Africa",1800,28.7,940,62865
"Mexico","mex","Americas",1800,26.9,1379,6181708
"Micronesia, Fed. Sts.","fsm","Asia",1800,26.7,518,16416
"Moldova","mda","Europe",1800,33.15,621,712558
"Mongolia","mng","Asia",1800,31.8,592,619000
"Montenegro","mne","Europe",1800,35.4,1057,126582
"Morocco","mar","Africa",1800,33.1,715,2503218
"Mozambique","moz","Africa",1800,30.28,390,1982324
"Myanmar","mmr","Asia",1800,30.8,840,3506000
"Namibia","nam","Africa",1800,32.4,540,229000
"Nepal","npl","Asia",1800,32.8,654,3881000
"Netherlands","nld","Europe",1800,39.86,4235,2254522
"New Zealand","nzl","Asia",1800,34.05,658,1e+05
"Nicaragua","nic","Americas",1800,25.4,973,219387
"Niger","ner","Africa",1800,30.8,446,1244861
"Nigeria","nga","Africa",1800,30.4,851,12100855
"Norway","nor","Europe",1800,37.92,1278,868570
"Oman","omn","Asia",1800,32.3,915,318000
"Pakistan","pak","Asia",1800,25.8,1021,13123633
"Panama","pan","Americas",1800,32.9,847,78842
"Papua New Guinea","png","Asia",1800,31.5,546,754894
"Paraguay","pry","Americas",1800,35.5,835,143000
"Peru","per","Americas",1800,35.7,1204,1314151
"Philippines","phl","Asia",1800,30.9,962,1894389
"Poland","pol","Europe",1800,35.9,1213,9508747
"Portugal","prt","Europe",1800,35.6,1685,3033454
"Qatar","qat","Asia",1800,30.8,1097,14092
"Romania","rou","Europe",1800,35.7,815,5464085
"Russia","rus","Europe",1800,29.57,1430,31088398
"Rwanda","rwa","Africa",1800,31.8,431,928368
"St. Lucia","lca","Americas",1800,28.01,874,24000
"St. Vincent and the Grenadines","vct","Americas",1800,25.99,838,25781
"Samoa","wsm","Asia",1800,25.4,1400,47300
"Sao Tome and Principe","stp","Africa",1800,31,850,22731
"Saudi Arabia","sau","Asia",1800,32.1,846,2091000
"Senegal","sen","Africa",1800,25.2,497,1009886
"Serbia","srb","Europe",1800,35.5,1358,2147197
"Seychelles","syc","Africa",1800,37,792,12522
"Sierra Leone","sle","Africa",1800,25.1,734,794264
"Singapore","sgp","Asia",1800,29.1,1021,30000
"Slovak Republic","svk","Europe",1800,36.4,1427,2140651
"Slovenia","svn","Europe",1800,36.6,1409,469664
"Solomon Islands","slb","Asia",1800,25.1,363,56998
"Somalia","som","Africa",1800,29.4,694,991488
"South Africa","zaf","Africa",1800,33.5,1480,1440820
"Spain","esp","Europe",1800,29.5,1518,11549294
"Sri Lanka","lka","Asia",1800,32.6,898,1213000
"Sudan","sdn","Africa",1800,31.4,518,3994154
"Suriname","sur","Americas",1800,32.9,1636,80721
"Swaziland","swz","Africa",1800,32.3,490,86000
"Sweden","swe","Europe",1800,32.16,1414,2354189
"Switzerland","che","Europe",1800,38,2701,1826051
"Syria","syr","Asia",1800,31.1,1081,1337000
"Tajikistan","tjk","Asia",1800,24.24,556,466629
"Tanzania","tza","Africa",1800,32.2,562,3019768
"Thailand","tha","Asia",1800,30.4,931,4665000
"Timor-Leste","tls","Asia",1800,28.95,521,137262
"Togo","tgo","Africa",1800,31.3,682,445985
"Tonga","ton","Asia",1800,28.2,663,18658
"Trinidad and Tobago","tto","Americas",1800,32.9,1230,60000
"Tunisia","tun","Africa",1800,28.8,716,862029
"Turkey","tur","Europe",1800,35,1221,9773456
"Turkmenistan","tkm","Asia",1800,24,943,367215
"Uganda","uga","Africa",1800,25.3,464,2101397
"Ukraine","ukr","Europe",1800,36.6,763,11215490
"United Arab Emirates","are","Asia",1800,30.7,998,40153
"United Kingdom","gbr","Europe",1800,38.65,3431,12327466
"United States","usa","Americas",1800,39.41,2128,6801854
"Uruguay","ury","Americas",1800,32.9,1758,55000
"Uzbekistan","uzb","Asia",1800,26.93,502,1919159
"Vanuatu","vut","Asia",1800,24.3,585,27791
"Venezuela","ven","Americas",1800,32.2,682,718000
"Vietnam","vnm","Asia",1800,32,861,6551000
"Yemen","yem","Asia",1800,23.39,877,2593000
"Zambia","zmb","Africa",1800,32.6,663,747000
"Zimbabwe","zwe","Africa",1800,33.7,869,1085814
"South Sudan","ssd","Africa",1800,26.67,507,1027378
"Afghanistan","afg","Asia",1810,28.11,604,3280000
"Albania","alb","Europe",1810,35.4,668,423591
"Algeria","dza","Africa",1810,28.82,725,2595056
"Angola","ago","Africa",1810,26.98,645,1567028
"Antigua and Barbuda","atg","Americas",1810,33.54,758,37000
"Argentina","arg","Americas",1810,33.2,1510,534000
"Armenia","arm","Europe",1810,34,514,413326
"Australia","aus","Asia",1810,34.05,834,342440
"Austria","aut","Europe",1810,34.4,1924,3286650
"Azerbaijan","aze","Europe",1810,29.17,777,879960
"Bahamas","bhs","Americas",1810,35.18,1447,27350
"Bahrain","bhr","Asia",1810,30.3,1289,64474
"Bangladesh","bgd","Asia",1810,25.5,875,19611269
"Barbados","brb","Americas",1810,32.12,915,81729
"Belarus","blr","Europe",1810,36.2,611,2355081
"Belgium","bel","Europe",1810,40.08,2416,3283959
"Belize","blz","Americas",1810,26.5,580,25526
"Benin","ben","Africa",1810,31,598,636559
"Bhutan","btn","Asia",1810,28.8,630,89989
"Bolivia","bol","Americas",1810,33,855,1100000
"Bosnia and Herzegovina","bih","Europe",1810,35.1,670,851806
"Botswana","bwa","Africa",1810,33.6,398,121000
"Brazil","bra","Americas",1810,32,1110,4058652
"Brunei","brn","Asia",1810,29.2,1514,2128
"Bulgaria","bgr","Europe",1810,36.24,1091,2088223
"Burkina Faso","bfa","Africa",1810,29.2,480,1665421
"Burundi","bdi","Africa",1810,31.5,422,899097
"Cambodia","khm","Asia",1810,35,905,2090000
"Cameroon","cmr","Africa",1810,28.75,627,1860054
"Canada","can","Americas",1810,39.01,1400,727603
"Cape Verde","cpv","Africa",1810,33.8,530,55716
"Central African Republic","caf","Africa",1810,30,425,479444
"Chad","tcd","Africa",1810,30.9,419,1432000
"Chile","chl","Americas",1810,32,1028,771447
"China","chn","Asia",1810,32,985,350542958
"Colombia","col","Americas",1810,32,964,1206000
"Comoros","com","Africa",1810,32.1,703,56346
"Congo, Dem. Rep.","cod","Africa",1810,31.6,505,5163819
"Congo, Rep.","cog","Africa",1810,32.7,591,314465
"Costa Rica","cri","Americas",1810,30.21,776,57584
"Cote d'Ivoire","civ","Africa",1810,31.16,845,1088530
"Cuba","cub","Americas",1810,33.64,970,470176
"Cyprus","cyp","Europe",1810,38.5,855,184590
"Czech Republic","cze","Europe",1810,34.95,1918,5516349
"Denmark","dnk","Europe",1810,41.71,2050,1108146
"Djibouti","dji","Africa",1810,29.9,776,22848
"Dominican Republic","dom","Americas",1810,29.9,668,89000
"Ecuador","ecu","Americas",1810,32.9,530,5e+05
"Egypt","egy","Africa",1810,33,792,4218711
"El Salvador","slv","Americas",1810,28.7,976,248000
"Equatorial Guinea","gnq","Africa",1810,29.8,360,80377
"Eritrea","eri","Africa",1810,30.2,533,205010
"Estonia","est","Europe",1810,34.86,949,334136
"Ethiopia","eth","Africa",1810,29.7,523,2948990
"Fiji","fji","Asia",1810,26.1,786,132682
"Finland","fin","Europe",1810,36.95,1267,1070625
"France","fra","Europe",1810,37.4,1839,30293172
"Gabon","gab","Africa",1810,30.6,391,158227
"Gambia","gmb","Africa",1810,28.8,818,103274
"Georgia","geo","Europe",1810,31.87,544,1072178
"Germany","deu","Europe",1810,38.37,1759,23882461
"Ghana","gha","Africa",1810,28,701,2016034
"Greece","grc","Europe",1810,36.6,1395,2230659
"Grenada","grd","Americas",1810,31.4,960,29409
"Guatemala","gtm","Americas",1810,25.8,858,524190
"Guinea","gin","Africa",1810,29.6,451,983959
"Guinea-Bissau","gnb","Africa",1810,32,778,218167
"Guyana","guy","Americas",1810,31.12,1216,166034
"Haiti","hti","Americas",1810,29,634,723000
"Honduras","hnd","Americas",1810,33.9,676,132182
"Hong Kong, China","hkg","Asia",1810,34.9,1008,20000
"Hungary","hun","Europe",1810,36,1251,3814221
"Iceland","isl","Europe",1810,43.14,928,61428
"India","ind","Asia",1810,25.44,1051,171940819
"Indonesia","idn","Asia",1810,30,996,16537268
"Iran","irn","Asia",1810,25.6,979,6413820
"Iraq","irq","Asia",1810,31.2,971,1084941
"Ireland","irl","Europe",1810,38.3,1449,4541676
"Israel","isr","Asia",1810,32,881,209954
"Italy","ita","Europe",1810,29.69,2371,19491674
"Jamaica","jam","Americas",1810,34.2,1172,401000
"Japan","jpn","Asia",1810,36.4,1064,30645903
"Jordan","jor","Asia",1810,31.7,978,217000
"Kazakhstan","kaz","Asia",1810,26.2,1153,2041282
"Kenya","ken","Africa",1810,25.5,881,2574000
"Kiribati","kir","Asia",1810,24.9,556,17876
"North Korea","prk","Asia",1810,26,573,4345000
"South Korea","kor","Asia",1810,25.8,570,9395000
"Kuwait","kwt","Asia",1810,26,1139,81280
"Kyrgyz Republic","kgz","Asia",1810,23.94,509,530343
"Lao","lao","Asia",1810,31.9,866,470000
"Latvia","lva","Europe",1810,33,760,590588
"Lebanon","lbn","Asia",1810,29.7,1090,332000
"Lesotho","lso","Africa",1810,32.8,395,276361
"Liberia","lbr","Africa",1810,31.1,798,313543
"Libya","lby","Africa",1810,33.1,1051,534730
"Lithuania","ltu","Europe",1810,28.9,1285,778655
"Luxembourg","lux","Europe",1810,36.9,1455,127030
"Macedonia, FYR","mkd","Europe",1810,36.1,691,391865
"Madagascar","mdg","Africa",1810,30.5,574,1612106
"Malawi","mwi","Africa",1810,30.3,350,737000
"Malaysia","mys","Asia",1810,30.6,999,287000
"Maldives","mdv","Asia",1810,32.65,844,42378
"Mali","mli","Africa",1810,26.41,603,1403398
"Malta","mlt","Europe",1810,28.7,783,134072
"Mauritania","mrt","Africa",1810,32,528,382696
"Mauritius","mus","Africa",1810,28.7,941,78310
"Mexico","mex","Americas",1810,26.9,1381,6382317
"Micronesia, Fed. Sts.","fsm","Asia",1810,26.7,521,16416
"Moldova","mda","Europe",1810,33.15,622,712558
"Mongolia","mng","Asia",1810,31.8,593,619000
"Montenegro","mne","Europe",1810,35.4,1059,126582
"Morocco","mar","Africa",1810,33.1,716,2595056
"Mozambique","moz","Africa",1810,30.28,393,2038660
"Myanmar","mmr","Asia",1810,30.8,841,3506000
"Namibia","nam","Africa",1810,32.4,541,229000
"Nepal","npl","Asia",1810,32.8,655,3881000
"Netherlands","nld","Europe",1810,39.86,3927,2293548
"New Zealand","nzl","Asia",1810,34.05,659,1e+05
"Nicaragua","nic","Americas",1810,25.4,975,219387
"Niger","ner","Africa",1810,30.8,447,1244861
"Nigeria","nga","Africa",1810,30.4,867,12100855
"Norway","nor","Europe",1810,36.48,1299,918398
"Oman","omn","Asia",1810,32.3,917,318000
"Pakistan","pak","Asia",1810,25.8,1020,13385672
"Panama","pan","Americas",1810,32.9,848,78842
"Papua New Guinea","png","Asia",1810,31.5,547,754894
"Paraguay","pry","Americas",1810,35.5,836,143000
"Peru","per","Americas",1810,35.7,1206,1315575
"Philippines","phl","Asia",1810,30.9,964,1894389
"Poland","pol","Europe",1810,35.9,1260,9960687
"Portugal","prt","Europe",1810,35.6,1687,3163489
"Qatar","qat","Asia",1810,30.8,1139,14092
"Romania","rou","Europe",1810,35.7,817,5915097
"Russia","rus","Europe",1810,29.57,1447,31088398
"Rwanda","rwa","Africa",1810,31.8,437,928368
"St. Lucia","lca","Americas",1810,28.01,876,24000
"St. Vincent and the Grenadines","vct","Americas",1810,25.99,839,25781
"Samoa","wsm","Asia",1810,25.4,1402,47220
"Sao Tome and Principe","stp","Africa",1810,31,866,22731
"Saudi Arabia","sau","Asia",1810,32.1,852,2091000
"Senegal","sen","Africa",1810,25.2,498,1009886
"Serbia","srb","Europe",1810,35.5,1360,2147197
"Seychelles","syc","Africa",1810,37,824,12522
"Sierra Leone","sle","Africa",1810,25.1,735,794264
"Singapore","sgp","Asia",1810,29.1,1023,30000
"Slovak Republic","svk","Europe",1810,36.4,1429,2140651
"Slovenia","svn","Europe",1810,36.6,1411,469664
"Solomon Islands","slb","Asia",1810,25.1,364,56998
"Somalia","som","Africa",1810,29.4,700,995738
"South Africa","zaf","Africa",1810,33.5,1482,1494779
"Spain","esp","Europe",1810,29.5,1520,11873298
"Sri Lanka","lka","Asia",1810,32.6,899,1213000
"Sudan","sdn","Africa",1810,31.4,519,4047408
"Suriname","sur","Americas",1810,32.9,1639,80721
"Swaziland","swz","Africa",1810,32.3,490,86000
"Sweden","swe","Europe",1810,31.99,1368,2428185
"Switzerland","che","Europe",1810,38,2705,1904962
"Syria","syr","Asia",1810,31.1,1083,1337000
"Tajikistan","tjk","Asia",1810,24.24,558,466629
"Tanzania","tza","Africa",1810,32.2,563,3019768
"Thailand","tha","Asia",1810,30.4,933,4665000
"Timor-Leste","tls","Asia",1810,28.95,531,137262
"Togo","tgo","Africa",1810,31.3,683,445985
"Tonga","ton","Asia",1810,28.2,664,18621
"Trinidad and Tobago","tto","Americas",1810,32.9,1232,60000
"Tunisia","tun","Africa",1810,28.8,717,868499
"Turkey","tur","Europe",1810,35,1223,9923007
"Turkmenistan","tkm","Asia",1810,24,954,367215
"Uganda","uga","Africa",1810,25.3,464,2101397
"Ukraine","ukr","Europe",1810,36.6,772,11215490
"United Arab Emirates","are","Asia",1810,30.7,1036,40153
"United Kingdom","gbr","Europe",1810,38.35,3575,14106058
"United States","usa","Americas",1810,39.41,2283,8294928
"Uruguay","ury","Americas",1810,32.9,1761,55000
"Uzbekistan","uzb","Asia",1810,26.93,503,1919159
"Vanuatu","vut","Asia",1810,24.3,586,27791
"Venezuela","ven","Americas",1810,32.2,683,718000
"Vietnam","vnm","Asia",1810,32,862,6551000
"Yemen","yem","Asia",1810,23.39,902,2593000
"Zambia","zmb","Africa",1810,32.6,680,747000
"Zimbabwe","zwe","Africa",1810,33.7,879,1085814
"South Sudan","ssd","Africa",1810,26.67,508,1041076
"Afghanistan","afg","Asia",1820,28.01,604,3323519
"Albania","alb","Europe",1820,35.4,669,438671
"Algeria","dza","Africa",1820,28.82,735,2713079
"Angola","ago","Africa",1820,26.98,674,1597530
"Antigua and Barbuda","atg","Americas",1820,33.54,759,37000
"Argentina","arg","Americas",1820,33.2,1512,570719
"Armenia","arm","Europe",1820,34,515,423527
"Australia","aus","Asia",1820,34.05,853,334002
"Austria","aut","Europe",1820,34.4,2003,3391206
"Azerbaijan","aze","Europe",1820,29.17,779,901772
"Bahamas","bhs","Americas",1820,35.18,1449,27404
"Bahrain","bhr","Asia",1820,30.3,1346,64474
"Bangladesh","bgd","Asia",1820,25.5,874,20122865
"Barbados","brb","Americas",1820,32.12,916,85456
"Belarus","blr","Europe",1820,36.2,614,2413420
"Belgium","bel","Europe",1820,40.16,2420,3475782
"Belize","blz","Americas",1820,26.5,580,25556
"Benin","ben","Africa",1820,31,598,653348
"Bhutan","btn","Asia",1820,28.8,631,91144
"Bolivia","bol","Americas",1820,33,856,1121924
"Bosnia and Herzegovina","bih","Europe",1820,35.1,671,871970
"Botswana","bwa","Africa",1820,33.6,398,121000
"Brazil","bra","Americas",1820,32,1112,4582325
"Brunei","brn","Asia",1820,29.2,1516,2251
"Bulgaria","bgr","Europe",1820,36.68,1092,2186672
"Burkina Faso","bfa","Africa",1820,29.2,481,1697947
"Burundi","bdi","Africa",1820,31.5,426,917804
"Cambodia","khm","Asia",1820,35,906,2102468
"Cameroon","cmr","Africa",1820,28.75,628,1874663
"Canada","can","Americas",1820,39.03,1491,879432
"Cape Verde","cpv","Africa",1820,33.8,531,57062
"Central African Republic","caf","Africa",1820,30,425,485538
"Chad","tcd","Africa",1820,30.9,419,1432000
"Chile","chl","Americas",1820,32,1029,820889
"China","chn","Asia",1820,32,985,380055273
"Colombia","col","Americas",1820,32,966,1266351
"Comoros","com","Africa",1820,32.1,710,57537
"Congo, Dem. Rep.","cod","Africa",1820,31.6,526,5255223
"Congo, Rep.","cog","Africa",1820,32.7,608,320596
"Costa Rica","cri","Americas",1820,30.21,777,63375
"Cote d'Ivoire","civ","Africa",1820,31.16,880,1108345
"Cuba","cub","Americas",1820,35.04,1090,607664
"Cyprus","cyp","Europe",1820,38.5,856,184788
"Czech Republic","cze","Europe",1820,34.95,1921,5569896
"Denmark","dnk","Europe",1820,43.14,2089,1177749
"Djibouti","dji","Africa",1820,29.9,801,23320
"Dominican Republic","dom","Americas",1820,29.9,669,93078
"Ecuador","ecu","Americas",1820,32.9,531,522656
"Egypt","egy","Africa",1820,33,793,4318788
"El Salvador","slv","Americas",1820,28.7,977,256823
"Equatorial Guinea","gnq","Africa",1820,29.8,365,81084
"Eritrea","eri","Africa",1820,30.2,534,212440
"Estonia","est","Europe",1820,43.39,960,342427
"Ethiopia","eth","Africa",1820,29.7,524,3063453
"Fiji","fji","Asia",1820,26.1,787,134860
"Finland","fin","Europe",1820,37.29,1290,1190807
"France","fra","Europe",1820,39.21,1876,31549988
"Gabon","gab","Africa",1820,30.6,391,161794
"Gambia","gmb","Africa",1820,28.8,823,105337
"Georgia","geo","Europe",1820,31.87,545,1098744
"Germany","deu","Europe",1820,38.37,1887,25507768
"Ghana","gha","Africa",1820,28,707,1990667
"Greece","grc","Europe",1820,36.6,1420,2347727
"Grenada","grd","Americas",1820,31.4,961,29699
"Guatemala","gtm","Americas",1820,25.8,860,594985
"Guinea","gin","Africa",1820,29.71,452,1007384
"Guinea-Bissau","gnb","Africa",1820,32,779,222059
"Guyana","guy","Americas",1820,31.12,1218,169103
"Haiti","hti","Americas",1820,29,635,739943
"Honduras","hnd","Americas",1820,33.9,677,146889
"Hong Kong, China","hkg","Asia",1820,34.9,1010,20928
"Hungary","hun","Europe",1820,36,1253,4137998
"Iceland","isl","Europe",1820,36.56,929,62498
"India","ind","Asia",1820,25.44,1050,176225709
"Indonesia","idn","Asia",1820,30,997,17236636
"Iran","irn","Asia",1820,25.6,980,6608508
"Iraq","irq","Asia",1820,31.2,973,1112536
"Ireland","irl","Europe",1820,38.3,1451,5052432
"Israel","isr","Asia",1820,32,882,209954
"Italy","ita","Europe",1820,29.69,2474,20341608
"Jamaica","jam","Americas",1820,34.2,1174,400825
"Japan","jpn","Asia",1820,36.41,1079,30993147
"Jordan","jor","Asia",1820,31.7,979,219348
"Kazakhstan","kaz","Asia",1820,26.2,1167,2091782
"Kenya","ken","Africa",1820,25.5,909,2574000
"Kiribati","kir","Asia",1820,24.9,561,18014
"North Korea","prk","Asia",1820,26,567,4353556
"South Korea","kor","Asia",1820,25.8,564,9408016
"Kuwait","kwt","Asia",1820,26,1182,81280
"Kyrgyz Republic","kgz","Asia",1820,23.94,510,543453
"Lao","lao","Asia",1820,31.9,867,482066
"Latvia","lva","Europe",1820,33,769,605262
"Lebanon","lbn","Asia",1820,29.7,1099,338427
"Lesotho","lso","Africa",1820,32.8,398,281945
"Liberia","lbr","Africa",1820,31.1,799,320479
"Libya","lby","Africa",1820,33.1,1053,544295
"Lithuania","ltu","Europe",1820,28.9,1300,797987
"Luxembourg","lux","Europe",1820,36.9,1457,129245
"Macedonia, FYR","mkd","Europe",1820,36.1,692,401178
"Madagascar","mdg","Africa",1820,30.5,574,1694950
"Malawi","mwi","Africa",1820,30.3,351,737000
"Malaysia","mys","Asia",1820,30.6,1000,303530
"Maldives","mdv","Asia",1820,32.65,845,43038
"Mali","mli","Africa",1820,26.41,604,1438308
"Malta","mlt","Europe",1820,28.7,784,136406
"Mauritania","mrt","Africa",1820,32,529,386926
"Mauritius","mus","Africa",1820,28.7,943,96755
"Mexico","mex","Americas",1820,26.9,1383,6621314
"Micronesia, Fed. Sts.","fsm","Asia",1820,26.7,524,16641
"Moldova","mda","Europe",1820,33.15,623,730194
"Mongolia","mng","Asia",1820,31.8,594,621483
"Montenegro","mne","Europe",1820,35.4,1061,129599
"Morocco","mar","Africa",1820,33.1,717,2713079
"Mozambique","moz","Africa",1820,30.28,395,2129723
"Myanmar","mmr","Asia",1820,30.8,843,3541573
"Namibia","nam","Africa",1820,32.4,542,229000
"Nepal","npl","Asia",1820,32.8,656,3920333
"Netherlands","nld","Europe",1820,39.86,3900,2407847
"New Zealand","nzl","Asia",1820,34.05,660,1e+05
"Nicaragua","nic","Americas",1820,25.4,976,229075
"Niger","ner","Africa",1820,30.8,447,1262280
"Nigeria","nga","Africa",1820,30.4,882,12238319
"Norway","nor","Europe",1820,46.96,1320,995904
"Oman","omn","Asia",1820,32.3,918,320411
"Pakistan","pak","Asia",1820,25.8,1019,13699962
"Panama","pan","Americas",1820,32.9,850,82788
"Papua New Guinea","png","Asia",1820,31.5,548,767591
"Paraguay","pry","Americas",1820,35.5,838,155438
"Peru","per","Americas",1820,35.7,1207,1367155
"Philippines","phl","Asia",1820,30.9,965,1983383
"Poland","pol","Europe",1820,35.9,1309,10508375
"Portugal","prt","Europe",1820,35.6,1690,3312025
"Qatar","qat","Asia",1820,30.8,1182,14092
"Romania","rou","Europe",1820,35.7,818,6390450
"Russia","rus","Europe",1820,29.57,1464,31861526
"Rwanda","rwa","Africa",1820,31.8,442,943716
"St. Lucia","lca","Americas",1820,28.01,877,24000
"St. Vincent and the Grenadines","vct","Americas",1820,25.99,840,26117
"Samoa","wsm","Asia",1820,25.4,1404,47139
"Sao Tome and Principe","stp","Africa",1820,31,882,23187
"Saudi Arabia","sau","Asia",1820,32.1,858,2103325
"Senegal","sen","Africa",1820,25.2,499,1028060
"Serbia","srb","Europe",1820,35.5,1362,2198187
"Seychelles","syc","Africa",1820,37,857,12637
"Sierra Leone","sle","Africa",1820,25.1,736,808514
"Singapore","sgp","Asia",1820,30.08,1024,31761
"Slovak Republic","svk","Europe",1820,36.4,1431,2161328
"Slovenia","svn","Europe",1820,36.6,1413,480821
"Solomon Islands","slb","Asia",1820,25.1,364,57682
"Somalia","som","Africa",1820,29.4,707,1015714
"South Africa","zaf","Africa",1820,33.5,1484,1577125
"Spain","esp","Europe",1820,29.5,1522,12333192
"Sri Lanka","lka","Asia",1820,32.6,901,1281602
"Sudan","sdn","Africa",1820,31.4,520,4135488
"Suriname","sur","Americas",1820,32.9,1641,82357
"Swaziland","swz","Africa",1820,32.3,491,86000
"Sweden","swe","Europe",1820,40.23,1469,2591521
"Switzerland","che","Europe",1820,38,2709,1994147
